unit_id,time_id,case_no,survey_year,survey_month,dvla_code,raw_la_code,strata,area_id,msoa_name,synthetic_msoa_assignment_method,synthetic_msoa_seed,sex,age,age_source,synthetic_age_seed,age_group_3_code,age_group_5_code,age_group_7_code,working_age_code,pension_age_code,econ_status_3_code,econ_status_code,education_code,highest_qualification_code,tenure_code,tenure_group_code,CarUse,caraccess,num_people,num_adult,num_child,urban_rural_code,urban_rural_com_code,wimd_overall_quintile_code,raw_atfrqbke,sample_adult_weight,sample_travel_weight,freq_cyclist_weight,freq_cyclist_weight_source,freq_cyclist,freq_cyclist_source
202100016,2021,202100016,2021,3,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,1,92.0,observed_exact_age,,3,5,,2,1,,,,-9,1,1,1,1,1,1,0,2,4,3,5,0.303353597370439,,0.303353597370439,sample_adult_weight_wave_fallback,0.0,observed
202100017,2021,202100017,2021,3,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,71.0,observed_exact_age,,3,4,,2,1,,,,3,1,1,1,1,1,1,0,2,4,3,5,0.333899133484417,,0.333899133484417,sample_adult_weight_wave_fallback,0.0,observed
202100018,2021,202100018,2021,3,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,45.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,1,1,0,2,2,3,5,0.376614369781928,,0.376614369781928,sample_adult_weight_wave_fallback,0.0,observed
202100019,2021,202100019,2021,2,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,1,53.0,observed_exact_age,,2,3,,1,0,,,,3,1,1,1,1,1,1,0,2,4,3,5,0.472831174848253,,0.472831174848253,sample_adult_weight_wave_fallback,0.0,observed
202100020,2021,202100020,2021,2,1,W06000001,W06000001,W02000008,Isle of Anglesey 008,uniform_random_within_la,20260623,2,45.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,2,2,0,2,4,3,5,0.753228739563856,,0.753228739563856,sample_adult_weight_wave_fallback,0.0,observed
202100021,2021,202100021,2021,2,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,1,33.0,observed_exact_age,,1,2,,1,0,,,,5,1,1,1,1,4,2,2,2,2,3,5,1.17815484564607,,1.17815484564607,sample_adult_weight_wave_fallback,0.0,observed
202100022,2021,202100022,2021,2,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,1,64.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,2,2,0,2,2,3,5,0.645105726219713,,0.645105726219713,sample_adult_weight_wave_fallback,0.0,observed
202100023,2021,202100023,2021,2,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,1,36.0,observed_exact_age,,1,2,,1,0,,,,1,1,1,1,1,1,1,0,2,2,3,5,0.573082155633089,,0.573082155633089,sample_adult_weight_wave_fallback,0.0,observed
202100024,2021,202100024,2021,2,1,W06000001,W06000001,W02000008,Isle of Anglesey 008,uniform_random_within_la,20260623,1,74.0,observed_exact_age,,3,4,,2,1,,,,-9,1,1,1,1,2,2,0,2,2,2,5,0.563562301416068,,0.563562301416068,sample_adult_weight_wave_fallback,0.0,observed
202100025,2021,202100025,2021,2,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,2,71.0,observed_exact_age,,3,4,,2,1,,,,1,1,1,1,1,1,1,0,2,3,4,5,0.333899133484417,,0.333899133484417,sample_adult_weight_wave_fallback,0.0,observed
202100026,2021,202100026,2021,2,1,W06000001,W06000001,W02000008,Isle of Anglesey 008,uniform_random_within_la,20260623,1,80.0,observed_exact_age,,3,5,,2,1,,,,2,4,3,1,1,2,2,0,2,3,4,5,0.606707194740879,,0.606707194740879,sample_adult_weight_wave_fallback,0.0,observed
202100027,2021,202100027,2021,2,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,1,51.0,observed_exact_age,,2,3,,1,0,,,,3,2,2,2,0,1,1,0,2,3,4,5,0.472831174848253,,0.472831174848253,sample_adult_weight_wave_fallback,0.0,observed
202100028,2021,202100028,2021,2,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,1,54.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,2,2,0,2,3,4,5,0.945662349696505,,0.945662349696505,sample_adult_weight_wave_fallback,0.0,observed
202100029,2021,202100029,2021,2,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,37.0,observed_exact_age,,1,2,,1,0,,,,1,1,1,1,1,4,2,2,2,2,4,3,0.872690843682574,,0.872690843682574,sample_adult_weight_wave_fallback,0.0,observed
202100030,2021,202100030,2021,2,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,2,53.0,observed_exact_age,,2,3,,1,0,,,,4,3,2,1,1,1,1,0,2,3,4,5,0.34495951579881,,0.34495951579881,sample_adult_weight_wave_fallback,0.0,observed
202100031,2021,202100031,2021,2,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,1,70.0,observed_exact_age,,3,4,,2,1,,,,1,1,1,1,1,2,2,0,2,2,4,4,0.563562301416068,,0.563562301416068,sample_adult_weight_wave_fallback,0.0,observed
202100032,2021,202100032,2021,2,1,W06000001,W06000001,W02000008,Isle of Anglesey 008,uniform_random_within_la,20260623,1,63.0,observed_exact_age,,2,3,,1,0,,,,5,1,1,1,1,4,4,0,2,2,2,5,1.29021145243943,,1.29021145243943,sample_adult_weight_wave_fallback,0.0,observed
202100033,2021,202100033,2021,1,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,2,76.0,observed_exact_age,,3,5,,2,1,,,,3,2,2,1,1,1,1,0,2,7,1,5,0.382013382311527,,0.382013382311527,sample_adult_weight_wave_fallback,0.0,observed
202100034,2021,202100034,2021,1,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,2,36.0,observed_exact_age,,1,2,,1,0,,,,2,1,1,1,1,5,2,3,2,7,1,5,0.872690843682574,,0.872690843682574,sample_adult_weight_wave_fallback,0.0,observed
202100035,2021,202100035,2021,1,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,2,54.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,2,0,1,1,0,2,7,4,5,0.34495951579881,,0.34495951579881,sample_adult_weight_wave_fallback,0.0,observed
202100036,2021,202100036,2021,1,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,1,76.0,observed_exact_age,,3,5,,2,1,,,,1,1,1,1,1,1,1,0,2,7,4,5,0.303353597370439,,0.303353597370439,sample_adult_weight_wave_fallback,0.0,observed
202100037,2021,202100037,2021,1,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,1,61.0,observed_exact_age,,2,3,,1,0,,,,3,1,1,1,1,2,2,0,2,7,4,5,0.645105726219713,,0.645105726219713,sample_adult_weight_wave_fallback,0.0,observed
202100038,2021,202100038,2021,2,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,1,37.0,observed_exact_age,,1,2,,1,0,,,,3,3,2,2,0,1,1,0,1,1,1,5,0.573082155633089,,0.573082155633089,sample_adult_weight_wave_fallback,0.0,observed
202100039,2021,202100039,2021,2,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,1,84.0,observed_exact_age,,3,5,,2,1,,,,1,1,1,1,1,2,2,0,1,1,3,5,0.606707194740879,,0.606707194740879,sample_adult_weight_wave_fallback,0.0,observed
202100040,2021,202100040,2021,2,1,W06000001,W06000001,W02000008,Isle of Anglesey 008,uniform_random_within_la,20260623,1,52.0,observed_exact_age,,2,3,,1,0,,,,-9,4,3,1,1,1,1,0,1,1,1,5,0.472831174848253,,0.472831174848253,sample_adult_weight_wave_fallback,0.0,observed
202100041,2021,202100041,2021,2,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,2,74.0,observed_exact_age,,3,4,,2,1,,,,3,1,1,1,1,2,2,0,1,1,3,5,0.667798266968833,,0.667798266968833,sample_adult_weight_wave_fallback,0.0,observed
202100042,2021,202100042,2021,2,1,W06000001,W06000001,W02000001,Isle of Anglesey 001,uniform_random_within_la,20260623,1,47.0,observed_exact_age,,2,3,,1,0,,,,3,1,1,1,1,2,2,0,1,1,4,5,1.10327379715028,,1.10327379715028,sample_adult_weight_wave_fallback,0.0,observed
202100043,2021,202100043,2021,2,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,2,62.0,observed_exact_age,,2,3,,1,0,,,,5,1,1,2,0,1,1,0,1,1,1,5,0.324544943361791,,0.324544943361791,sample_adult_weight_wave_fallback,0.0,observed
202100044,2021,202100044,2021,3,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,1,49.0,observed_exact_age,,2,3,,1,0,,,,5,2,2,1,1,1,1,0,1,1,1,5,0.55163689857514,,0.55163689857514,sample_adult_weight_wave_fallback,0.0,observed
202100045,2021,202100045,2021,3,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,2,80.0,observed_exact_age,,3,5,,2,1,,,,5,2,2,1,1,2,2,0,1,1,1,5,0.764026764623054,,0.764026764623054,sample_adult_weight_wave_fallback,0.0,observed
202100046,2021,202100046,2021,3,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,2,69.0,observed_exact_age,,3,4,,2,1,,,,5,1,1,1,1,1,1,0,1,1,1,5,0.351678848086213,,0.351678848086213,sample_adult_weight_wave_fallback,0.0,observed
202100047,2021,202100047,2021,3,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,1,69.0,observed_exact_age,,3,4,,2,1,,,,5,2,2,1,1,1,1,0,1,1,1,5,0.358633395488743,,0.358633395488743,sample_adult_weight_wave_fallback,0.0,observed
202100048,2021,202100048,2021,3,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,1,42.0,observed_exact_age,,1,2,,1,0,,,,5,2,2,2,0,1,1,0,1,1,1,5,0.485456505776178,,0.485456505776178,sample_adult_weight_wave_fallback,0.0,observed
202100049,2021,202100049,2021,3,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,2,68.0,observed_exact_age,,3,4,,2,1,,,,5,1,1,2,0,1,1,0,1,1,1,5,0.351678848086213,,0.351678848086213,sample_adult_weight_wave_fallback,0.0,observed
202100050,2021,202100050,2021,1,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,47.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,3,2,1,2,4,4,5,0.753228739563856,,0.753228739563856,sample_adult_weight_wave_fallback,0.0,observed
202100051,2021,202100051,2021,1,1,W06000001,W06000001,W02000008,Isle of Anglesey 008,uniform_random_within_la,20260623,2,81.0,observed_exact_age,,3,5,,2,1,,,,1,1,1,2,0,1,1,0,1,1,4,5,0.382013382311527,,0.382013382311527,sample_adult_weight_wave_fallback,0.0,observed
202100052,2021,202100052,2021,1,1,W06000001,W06000001,W02000001,Isle of Anglesey 001,uniform_random_within_la,20260623,1,68.0,observed_exact_age,,3,4,,2,1,,,,1,2,2,1,1,1,1,0,1,1,4,5,0.358633395488743,,0.358633395488743,sample_adult_weight_wave_fallback,0.0,observed
202100053,2021,202100053,2021,1,1,W06000001,W06000001,W02000002,Isle of Anglesey 002,uniform_random_within_la,20260623,1,36.0,observed_exact_age,,1,2,,1,0,,,,5,2,2,1,1,3,3,0,1,1,4,5,1.71924646689927,,1.71924646689927,sample_adult_weight_wave_fallback,0.0,observed
202100054,2021,202100054,2021,1,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,2,46.0,observed_exact_age,,2,3,,1,0,,,,3,1,1,1,1,2,2,0,1,1,4,5,0.753228739563856,,0.753228739563856,sample_adult_weight_wave_fallback,0.0,observed
202100055,2021,202100055,2021,1,1,W06000001,W06000001,W02000002,Isle of Anglesey 002,uniform_random_within_la,20260623,1,51.0,observed_exact_age,,2,3,,1,0,,,,3,1,1,1,1,4,2,2,1,1,4,5,0.945662349696505,,0.945662349696505,sample_adult_weight_wave_fallback,0.0,observed
202100056,2021,202100056,2021,1,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,1,56.0,observed_exact_age,,2,3,,1,0,,,,2,1,1,1,1,2,2,0,1,1,4,5,0.780714274385786,,0.780714274385786,sample_adult_weight_wave_fallback,0.0,observed
202100057,2021,202100057,2021,1,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,2,74.0,observed_exact_age,,3,4,,2,1,,,,3,1,1,1,1,2,2,0,1,1,4,5,0.667798266968833,,0.667798266968833,sample_adult_weight_wave_fallback,0.0,observed
202100058,2021,202100058,2021,1,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,63.0,observed_exact_age,,2,3,,1,0,,,,3,1,1,1,1,1,1,0,1,1,4,5,0.324544943361791,,0.324544943361791,sample_adult_weight_wave_fallback,0.0,observed
202100059,2021,202100059,2021,1,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,1,74.0,observed_exact_age,,3,4,,2,1,,,,1,1,1,1,1,2,2,0,2,2,4,5,0.563562301416068,,0.563562301416068,sample_adult_weight_wave_fallback,0.0,observed
202100060,2021,202100060,2021,1,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,2,91.0,observed_exact_age,,3,5,,2,1,,,,5,1,1,1,1,2,2,0,1,1,4,5,0.764026764623054,,0.764026764623054,sample_adult_weight_wave_fallback,0.0,observed
202100061,2021,202100061,2021,1,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,69.0,observed_exact_age,,3,4,,2,1,,,,3,1,1,1,1,2,2,0,1,1,4,5,0.703357696172427,,0.703357696172427,sample_adult_weight_wave_fallback,0.0,observed
202100062,2021,202100062,2021,1,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,1,58.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,3,3,0,2,2,4,5,1.17107141157868,,1.17107141157868,sample_adult_weight_wave_fallback,0.0,observed
202100063,2021,202100063,2021,1,1,W06000001,W06000001,W02000001,Isle of Anglesey 001,uniform_random_within_la,20260623,2,46.0,observed_exact_age,,2,3,,1,0,,,,3,1,1,1,1,3,2,1,2,2,4,5,0.753228739563856,,0.753228739563856,sample_adult_weight_wave_fallback,0.0,observed
202100064,2021,202100064,2021,1,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,83.0,observed_exact_age,,3,5,,2,1,,,,-9,1,1,1,1,2,2,0,2,2,4,5,0.764026764623054,,0.764026764623054,sample_adult_weight_wave_fallback,0.0,observed
202100065,2021,202100065,2021,1,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,2,73.0,observed_exact_age,,3,4,,2,1,,,,2,1,1,1,1,2,2,0,2,3,3,5,0.667798266968833,,0.667798266968833,sample_adult_weight_wave_fallback,0.0,observed
202100066,2021,202100066,2021,1,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,2,66.0,observed_exact_age,,3,4,,2,1,,,,-9,1,1,1,1,2,2,0,2,3,4,4,0.703357696172427,,0.703357696172427,sample_adult_weight_wave_fallback,0.0,observed
202100067,2021,202100067,2021,1,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,84.0,observed_exact_age,,3,5,,2,1,,,,1,1,1,2,0,1,1,0,2,7,3,5,0.382013382311527,,0.382013382311527,sample_adult_weight_wave_fallback,0.0,observed
202100068,2021,202100068,2021,1,1,W06000001,W06000001,W02000002,Isle of Anglesey 002,uniform_random_within_la,20260623,2,50.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,3,3,0,2,6,3,5,1.03487854739643,,1.03487854739643,sample_adult_weight_wave_fallback,0.0,observed
202100069,2021,202100069,2021,1,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,2,69.0,observed_exact_age,,3,4,,2,1,,,,3,1,1,1,1,2,2,0,2,6,3,5,0.703357696172427,,0.703357696172427,sample_adult_weight_wave_fallback,0.0,observed
202100070,2021,202100070,2021,1,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,1,63.0,observed_exact_age,,2,3,,1,0,,,,5,1,1,1,1,2,2,0,2,6,3,5,0.645105726219713,,0.645105726219713,sample_adult_weight_wave_fallback,0.0,observed
202100071,2021,202100071,2021,1,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,1,46.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,5,2,3,2,6,3,5,1.10327379715028,,1.10327379715028,sample_adult_weight_wave_fallback,0.0,observed
202100072,2021,202100072,2021,2,1,W06000001,W06000001,W02000001,Isle of Anglesey 001,uniform_random_within_la,20260623,2,85.0,observed_exact_age,,3,5,,2,1,,,,5,1,1,2,0,1,1,0,2,7,3,5,0.382013382311527,,0.382013382311527,sample_adult_weight_wave_fallback,0.0,observed
202100073,2021,202100073,2021,2,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,2,70.0,observed_exact_age,,3,4,,2,1,,,,5,1,1,1,1,2,2,0,2,7,3,5,0.667798266968833,,0.667798266968833,sample_adult_weight_wave_fallback,0.0,observed
202100074,2021,202100074,2021,2,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,2,41.0,observed_exact_age,,1,2,,1,0,,,,1,1,1,1,1,2,2,0,2,7,3,5,0.776539713938185,,0.776539713938185,sample_adult_weight_wave_fallback,0.0,observed
202100075,2021,202100075,2021,2,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,1,70.0,observed_exact_age,,3,4,,2,1,,,,1,1,1,1,1,2,2,0,2,7,3,5,0.563562301416068,,0.563562301416068,sample_adult_weight_wave_fallback,0.0,observed
202100076,2021,202100076,2021,2,1,W06000001,W06000001,W02000008,Isle of Anglesey 008,uniform_random_within_la,20260623,1,56.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,3,3,0,2,8,5,4,1.17107141157868,,1.17107141157868,sample_adult_weight_wave_fallback,0.0,observed
202100077,2021,202100077,2021,2,1,W06000001,W06000001,W02000008,Isle of Anglesey 008,uniform_random_within_la,20260623,2,75.0,observed_exact_age,,3,5,,2,1,,,,5,2,2,1,1,1,1,0,2,6,5,5,0.382013382311527,,0.382013382311527,sample_adult_weight_wave_fallback,0.0,observed
202100078,2021,202100078,2021,3,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,1,58.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,2,2,0,2,8,4,5,0.780714274385786,,0.780714274385786,sample_adult_weight_wave_fallback,0.0,observed
202100079,2021,202100079,2021,3,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,1,70.0,observed_exact_age,,3,4,,2,1,,,,1,1,1,1,1,1,1,0,2,7,5,5,0.281781150708034,,0.281781150708034,sample_adult_weight_wave_fallback,0.0,observed
202100080,2021,202100080,2021,3,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,1,31.0,observed_exact_age,,1,2,,1,0,,,,1,1,1,1,1,3,2,1,2,7,5,5,1.17815484564607,,1.17815484564607,sample_adult_weight_wave_fallback,0.0,observed
202100081,2021,202100081,2021,3,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,70.0,observed_exact_age,,3,4,,2,1,,,,4,1,1,1,1,2,2,0,2,7,5,5,0.667798266968833,,0.667798266968833,sample_adult_weight_wave_fallback,0.0,observed
202100082,2021,202100082,2021,3,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,2,85.0,observed_exact_age,,3,5,,2,1,,,,5,2,2,1,1,2,2,0,2,7,5,5,0.764026764623054,,0.764026764623054,sample_adult_weight_wave_fallback,0.0,observed
202100083,2021,202100083,2021,3,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,2,52.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,2,2,0,2,7,5,5,0.689919031597619,,0.689919031597619,sample_adult_weight_wave_fallback,0.0,observed
202100084,2021,202100084,2021,3,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,2,27.0,observed_exact_age,,1,2,,1,0,,,,1,1,1,1,1,2,2,0,2,7,5,5,1.17872336362054,,1.17872336362054,sample_adult_weight_wave_fallback,0.0,observed
202100085,2021,202100085,2021,3,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,1,57.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,3,2,1,2,7,5,5,0.780714274385786,,0.780714274385786,sample_adult_weight_wave_fallback,0.0,observed
202100086,2021,202100086,2021,3,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,2,59.0,observed_exact_age,,2,3,,1,0,,,,5,1,1,1,1,1,1,0,2,7,5,5,0.303633403791252,,0.303633403791252,sample_adult_weight_wave_fallback,0.0,observed
202100087,2021,202100087,2021,3,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,1,39.0,observed_exact_age,,1,2,,1,0,,,,3,1,1,1,1,2,2,0,2,7,5,5,1.14616431126618,,1.14616431126618,sample_adult_weight_wave_fallback,0.0,observed
202100088,2021,202100088,2021,3,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,2,84.0,observed_exact_age,,3,5,,2,1,,,,-9,1,1,2,0,1,1,0,2,7,4,5,0.382013382311527,,0.382013382311527,sample_adult_weight_wave_fallback,0.0,observed
202100089,2021,202100089,2021,3,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,2,74.0,observed_exact_age,,3,4,,2,1,,,,3,2,2,2,0,1,1,0,2,7,5,5,0.333899133484417,,0.333899133484417,sample_adult_weight_wave_fallback,0.0,observed
