msoa_code,msoa_name,msoa_name_welsh,la_code,la_name,la_name_welsh
W02000070,Flintshire 013,Sir y Fflint 013,W06000005,Flintshire,Sir y Fflint
W02000071,Flintshire 014,Sir y Fflint 014,W06000005,Flintshire,Sir y Fflint
W02000072,Flintshire 015,Sir y Fflint 015,W06000005,Flintshire,Sir y Fflint
W02000073,Flintshire 016,Sir y Fflint 016,W06000005,Flintshire,Sir y Fflint
W02000074,Flintshire 017,Sir y Fflint 017,W06000005,Flintshire,Sir y Fflint
W02000075,Flintshire 018,Sir y Fflint 018,W06000005,Flintshire,Sir y Fflint
W02000076,Flintshire 019,Sir y Fflint 019,W06000005,Flintshire,Sir y Fflint
W02000077,Flintshire 020,Sir y Fflint 020,W06000005,Flintshire,Sir y Fflint
W02000080,Wrexham 003,Wrecsam 003,W06000006,Wrexham,Wrecsam
W02000081,Wrexham 004,Wrecsam 004,W06000006,Wrexham,Wrecsam
W02000082,Wrexham 005,Wrecsam 005,W06000006,Wrexham,Wrecsam
W02000083,Wrexham 006,Wrecsam 006,W06000006,Wrexham,Wrecsam
W02000085,Wrexham 008,Wrecsam 008,W06000006,Wrexham,Wrecsam
W02000087,Wrexham 010,Wrecsam 010,W06000006,Wrexham,Wrecsam
W02000088,Wrexham 011,Wrecsam 011,W06000006,Wrexham,Wrecsam
W02000089,Wrexham 012,Wrecsam 012,W06000006,Wrexham,Wrecsam
W02000090,Wrexham 013,Wrecsam 013,W06000006,Wrexham,Wrecsam
W02000091,Wrexham 014,Wrecsam 014,W06000006,Wrexham,Wrecsam
W02000092,Wrexham 015,Wrecsam 015,W06000006,Wrexham,Wrecsam
W02000093,Wrexham 016,Wrecsam 016,W06000006,Wrexham,Wrecsam
W02000094,Wrexham 017,Wrecsam 017,W06000006,Wrexham,Wrecsam
W02000095,Wrexham 018,Wrecsam 018,W06000006,Wrexham,Wrecsam
W02000096,Wrexham 019,Wrecsam 019,W06000006,Wrexham,Wrecsam
W02000097,Powys 001,Powys 001,W06000023,Powys,Powys
W02000098,Powys 002,Powys 002,W06000023,Powys,Powys
W02000099,Powys 003,Powys 003,W06000023,Powys,Powys
W02000100,Powys 004,Powys 004,W06000023,Powys,Powys
W02000101,Powys 005,Powys 005,W06000023,Powys,Powys
W02000102,Powys 006,Powys 006,W06000023,Powys,Powys
W02000103,Powys 007,Powys 007,W06000023,Powys,Powys
W02000104,Powys 008,Powys 008,W06000023,Powys,Powys
W02000105,Powys 009,Powys 009,W06000023,Powys,Powys
W02000106,Powys 010,Powys 010,W06000023,Powys,Powys
W02000107,Powys 011,Powys 011,W06000023,Powys,Powys
W02000108,Powys 012,Powys 012,W06000023,Powys,Powys
W02000109,Powys 013,Powys 013,W06000023,Powys,Powys
W02000110,Powys 014,Powys 014,W06000023,Powys,Powys
W02000111,Powys 015,Powys 015,W06000023,Powys,Powys
W02000113,Powys 017,Powys 017,W06000023,Powys,Powys
W02000114,Powys 018,Powys 018,W06000023,Powys,Powys
W02000116,Ceredigion 001,Ceredigion 001,W06000008,Ceredigion,Ceredigion
W02000117,Ceredigion 002,Ceredigion 002,W06000008,Ceredigion,Ceredigion
W02000118,Ceredigion 003,Ceredigion 003,W06000008,Ceredigion,Ceredigion
W02000120,Ceredigion 005,Ceredigion 005,W06000008,Ceredigion,Ceredigion
W02000122,Ceredigion 007,Ceredigion 007,W06000008,Ceredigion,Ceredigion
W02000123,Ceredigion 008,Ceredigion 008,W06000008,Ceredigion,Ceredigion
W02000124,Ceredigion 009,Ceredigion 009,W06000008,Ceredigion,Ceredigion
W02000125,Ceredigion 010,Ceredigion 010,W06000008,Ceredigion,Ceredigion
W02000126,Pembrokeshire 001,Sir Benfro 001,W06000009,Pembrokeshire,Sir Benfro
W02000127,Pembrokeshire 002,Sir Benfro 002,W06000009,Pembrokeshire,Sir Benfro
W02000128,Pembrokeshire 003,Sir Benfro 003,W06000009,Pembrokeshire,Sir Benfro
W02000129,Pembrokeshire 004,Sir Benfro 004,W06000009,Pembrokeshire,Sir Benfro
W02000130,Pembrokeshire 005,Sir Benfro 005,W06000009,Pembrokeshire,Sir Benfro
W02000131,Pembrokeshire 006,Sir Benfro 006,W06000009,Pembrokeshire,Sir Benfro
W02000132,Pembrokeshire 007,Sir Benfro 007,W06000009,Pembrokeshire,Sir Benfro
W02000133,Pembrokeshire 008,Sir Benfro 008,W06000009,Pembrokeshire,Sir Benfro
W02000134,Pembrokeshire 009,Sir Benfro 009,W06000009,Pembrokeshire,Sir Benfro
W02000135,Pembrokeshire 010,Sir Benfro 010,W06000009,Pembrokeshire,Sir Benfro
W02000136,Pembrokeshire 011,Sir Benfro 011,W06000009,Pembrokeshire,Sir Benfro
W02000137,Pembrokeshire 012,Sir Benfro 012,W06000009,Pembrokeshire,Sir Benfro
W02000138,Pembrokeshire 013,Sir Benfro 013,W06000009,Pembrokeshire,Sir Benfro
W02000139,Pembrokeshire 014,Sir Benfro 014,W06000009,Pembrokeshire,Sir Benfro
W02000140,Pembrokeshire 015,Sir Benfro 015,W06000009,Pembrokeshire,Sir Benfro
W02000141,Pembrokeshire 016,Sir Benfro 016,W06000009,Pembrokeshire,Sir Benfro
W02000142,Carmarthenshire 001,Sir Gaerfyrddin 001,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000143,Carmarthenshire 002,Sir Gaerfyrddin 002,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000144,Carmarthenshire 003,Sir Gaerfyrddin 003,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000145,Carmarthenshire 004,Sir Gaerfyrddin 004,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000146,Carmarthenshire 005,Sir Gaerfyrddin 005,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000147,Carmarthenshire 006,Sir Gaerfyrddin 006,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000148,Carmarthenshire 007,Sir Gaerfyrddin 007,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000149,Carmarthenshire 008,Sir Gaerfyrddin 008,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000151,Carmarthenshire 010,Sir Gaerfyrddin 010,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000152,Carmarthenshire 011,Sir Gaerfyrddin 011,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000153,Carmarthenshire 012,Sir Gaerfyrddin 012,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000154,Carmarthenshire 013,Sir Gaerfyrddin 013,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000156,Carmarthenshire 015,Sir Gaerfyrddin 015,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000157,Carmarthenshire 016,Sir Gaerfyrddin 016,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000158,Carmarthenshire 017,Sir Gaerfyrddin 017,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000159,Carmarthenshire 018,Sir Gaerfyrddin 018,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000160,Carmarthenshire 019,Sir Gaerfyrddin 019,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000161,Carmarthenshire 020,Sir Gaerfyrddin 020,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000162,Carmarthenshire 021,Sir Gaerfyrddin 021,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000163,Carmarthenshire 022,Sir Gaerfyrddin 022,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000164,Carmarthenshire 023,Sir Gaerfyrddin 023,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000165,Carmarthenshire 024,Sir Gaerfyrddin 024,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000166,Carmarthenshire 025,Sir Gaerfyrddin 025,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000167,Carmarthenshire 026,Sir Gaerfyrddin 026,W06000010,Carmarthenshire,Sir Gaerfyrddin
W02000168,Swansea 001,Abertawe 001,W06000011,Swansea,Abertawe
W02000169,Swansea 002,Abertawe 002,W06000011,Swansea,Abertawe
W02000170,Swansea 003,Abertawe 003,W06000011,Swansea,Abertawe
W02000171,Swansea 004,Abertawe 004,W06000011,Swansea,Abertawe
W02000172,Swansea 005,Abertawe 005,W06000011,Swansea,Abertawe
W02000173,Swansea 006,Abertawe 006,W06000011,Swansea,Abertawe
W02000174,Swansea 007,Abertawe 007,W06000011,Swansea,Abertawe
W02000175,Swansea 008,Abertawe 008,W06000011,Swansea,Abertawe
W02000176,Swansea 009,Abertawe 009,W06000011,Swansea,Abertawe
W02000177,Swansea 010,Abertawe 010,W06000011,Swansea,Abertawe
W02000178,Swansea 011,Abertawe 011,W06000011,Swansea,Abertawe
W02000179,Swansea 012,Abertawe 012,W06000011,Swansea,Abertawe
W02000180,Swansea 013,Abertawe 013,W06000011,Swansea,Abertawe
W02000181,Swansea 014,Abertawe 014,W06000011,Swansea,Abertawe
W02000182,Swansea 015,Abertawe 015,W06000011,Swansea,Abertawe
W02000183,Swansea 016,Abertawe 016,W06000011,Swansea,Abertawe
W02000184,Swansea 017,Abertawe 017,W06000011,Swansea,Abertawe
W02000185,Swansea 018,Abertawe 018,W06000011,Swansea,Abertawe
W02000186,Swansea 019,Abertawe 019,W06000011,Swansea,Abertawe
W02000188,Swansea 021,Abertawe 021,W06000011,Swansea,Abertawe
W02000189,Swansea 022,Abertawe 022,W06000011,Swansea,Abertawe
W02000191,Swansea 024,Abertawe 024,W06000011,Swansea,Abertawe
W02000192,Swansea 025,Abertawe 025,W06000011,Swansea,Abertawe
W02000193,Swansea 026,Abertawe 026,W06000011,Swansea,Abertawe
W02000194,Swansea 027,Abertawe 027,W06000011,Swansea,Abertawe
W02000195,Swansea 028,Abertawe 028,W06000011,Swansea,Abertawe
W02000196,Swansea 029,Abertawe 029,W06000011,Swansea,Abertawe
W02000197,Swansea 030,Abertawe 030,W06000011,Swansea,Abertawe
W02000198,Swansea 031,Abertawe 031,W06000011,Swansea,Abertawe
W02000200,Neath Port Talbot 002,Castell-nedd Port Talbot 002,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000201,Neath Port Talbot 003,Castell-nedd Port Talbot 003,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000202,Neath Port Talbot 004,Castell-nedd Port Talbot 004,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000204,Neath Port Talbot 006,Castell-nedd Port Talbot 006,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000205,Neath Port Talbot 007,Castell-nedd Port Talbot 007,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000206,Neath Port Talbot 008,Castell-nedd Port Talbot 008,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000207,Neath Port Talbot 009,Castell-nedd Port Talbot 009,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000208,Neath Port Talbot 010,Castell-nedd Port Talbot 010,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000210,Neath Port Talbot 012,Castell-nedd Port Talbot 012,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000211,Neath Port Talbot 013,Castell-nedd Port Talbot 013,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000212,Neath Port Talbot 014,Castell-nedd Port Talbot 014,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000213,Neath Port Talbot 015,Castell-nedd Port Talbot 015,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000214,Neath Port Talbot 016,Castell-nedd Port Talbot 016,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000215,Neath Port Talbot 017,Castell-nedd Port Talbot 017,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000216,Neath Port Talbot 018,Castell-nedd Port Talbot 018,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000217,Neath Port Talbot 019,Castell-nedd Port Talbot 019,W06000012,Neath Port Talbot,Castell-nedd Port Talbot
W02000218,Bridgend 001,Pen-y-bont ar Ogwr 001,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000219,Bridgend 002,Pen-y-bont ar Ogwr 002,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000220,Bridgend 003,Pen-y-bont ar Ogwr 003,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000221,Bridgend 004,Pen-y-bont ar Ogwr 004,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000222,Bridgend 005,Pen-y-bont ar Ogwr 005,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000223,Bridgend 006,Pen-y-bont ar Ogwr 006,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000224,Bridgend 007,Pen-y-bont ar Ogwr 007,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000225,Bridgend 008,Pen-y-bont ar Ogwr 008,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000226,Bridgend 009,Pen-y-bont ar Ogwr 009,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000227,Bridgend 010,Pen-y-bont ar Ogwr 010,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000228,Bridgend 011,Pen-y-bont ar Ogwr 011,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000229,Bridgend 012,Pen-y-bont ar Ogwr 012,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000230,Bridgend 013,Pen-y-bont ar Ogwr 013,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000231,Bridgend 014,Pen-y-bont ar Ogwr 014,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000232,Bridgend 015,Pen-y-bont ar Ogwr 015,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000233,Bridgend 016,Pen-y-bont ar Ogwr 016,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000234,Bridgend 017,Pen-y-bont ar Ogwr 017,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000235,Bridgend 018,Pen-y-bont ar Ogwr 018,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000236,Bridgend 019,Pen-y-bont ar Ogwr 019,W06000013,Bridgend,Pen-y-bont ar Ogwr
W02000237,Vale of Glamorgan 001,Bro Morgannwg 001,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000238,Vale of Glamorgan 002,Bro Morgannwg 002,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000239,Vale of Glamorgan 003,Bro Morgannwg 003,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000240,Vale of Glamorgan 004,Bro Morgannwg 004,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000241,Vale of Glamorgan 005,Bro Morgannwg 005,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000242,Vale of Glamorgan 006,Bro Morgannwg 006,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000243,Vale of Glamorgan 007,Bro Morgannwg 007,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000244,Vale of Glamorgan 008,Bro Morgannwg 008,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000245,Vale of Glamorgan 009,Bro Morgannwg 009,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000246,Vale of Glamorgan 010,Bro Morgannwg 010,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000247,Vale of Glamorgan 011,Bro Morgannwg 011,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000248,Vale of Glamorgan 012,Bro Morgannwg 012,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000249,Vale of Glamorgan 013,Bro Morgannwg 013,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000250,Vale of Glamorgan 014,Bro Morgannwg 014,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000251,Vale of Glamorgan 015,Bro Morgannwg 015,W06000014,Vale of Glamorgan,Bro Morgannwg
W02000252,Rhondda Cynon Taf 001,Rhondda Cynon Taf 001,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000253,Rhondda Cynon Taf 002,Rhondda Cynon Taf 002,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000254,Rhondda Cynon Taf 003,Rhondda Cynon Taf 003,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000255,Rhondda Cynon Taf 004,Rhondda Cynon Taf 004,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000256,Rhondda Cynon Taf 005,Rhondda Cynon Taf 005,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000257,Rhondda Cynon Taf 006,Rhondda Cynon Taf 006,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000258,Rhondda Cynon Taf 007,Rhondda Cynon Taf 007,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000259,Rhondda Cynon Taf 008,Rhondda Cynon Taf 008,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000260,Rhondda Cynon Taf 009,Rhondda Cynon Taf 009,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000261,Rhondda Cynon Taf 010,Rhondda Cynon Taf 010,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000262,Rhondda Cynon Taf 011,Rhondda Cynon Taf 011,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000263,Rhondda Cynon Taf 012,Rhondda Cynon Taf 012,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000264,Rhondda Cynon Taf 013,Rhondda Cynon Taf 013,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000265,Rhondda Cynon Taf 014,Rhondda Cynon Taf 014,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000266,Rhondda Cynon Taf 015,Rhondda Cynon Taf 015,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000267,Rhondda Cynon Taf 016,Rhondda Cynon Taf 016,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000268,Rhondda Cynon Taf 017,Rhondda Cynon Taf 017,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000269,Rhondda Cynon Taf 018,Rhondda Cynon Taf 018,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000270,Rhondda Cynon Taf 019,Rhondda Cynon Taf 019,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000271,Rhondda Cynon Taf 020,Rhondda Cynon Taf 020,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000272,Rhondda Cynon Taf 021,Rhondda Cynon Taf 021,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000273,Rhondda Cynon Taf 022,Rhondda Cynon Taf 022,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000274,Rhondda Cynon Taf 023,Rhondda Cynon Taf 023,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000275,Rhondda Cynon Taf 024,Rhondda Cynon Taf 024,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000276,Rhondda Cynon Taf 025,Rhondda Cynon Taf 025,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000277,Rhondda Cynon Taf 026,Rhondda Cynon Taf 026,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000278,Rhondda Cynon Taf 027,Rhondda Cynon Taf 027,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000279,Rhondda Cynon Taf 028,Rhondda Cynon Taf 028,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000280,Rhondda Cynon Taf 029,Rhondda Cynon Taf 029,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000281,Rhondda Cynon Taf 030,Rhondda Cynon Taf 030,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000282,Rhondda Cynon Taf 031,Rhondda Cynon Taf 031,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf
W02000284,Merthyr Tydfil 002,Merthyr Tudful 002,W06000024,Merthyr Tydfil,Merthyr Tudful
W02000285,Merthyr Tydfil 003,Merthyr Tudful 003,W06000024,Merthyr Tydfil,Merthyr Tudful
W02000286,Merthyr Tydfil 004,Merthyr Tudful 004,W06000024,Merthyr Tydfil,Merthyr Tudful
W02000287,Merthyr Tydfil 005,Merthyr Tudful 005,W06000024,Merthyr Tydfil,Merthyr Tudful
W02000288,Merthyr Tydfil 006,Merthyr Tudful 006,W06000024,Merthyr Tydfil,Merthyr Tudful
W02000289,Merthyr Tydfil 007,Merthyr Tudful 007,W06000024,Merthyr Tydfil,Merthyr Tudful
W02000290,Caerphilly 001,Caerffili 001,W06000018,Caerphilly,Caerffili
W02000291,Caerphilly 002,Caerffili 002,W06000018,Caerphilly,Caerffili
W02000292,Caerphilly 003,Caerffili 003,W06000018,Caerphilly,Caerffili
W02000293,Caerphilly 004,Caerffili 004,W06000018,Caerphilly,Caerffili
W02000294,Caerphilly 005,Caerffili 005,W06000018,Caerphilly,Caerffili
W02000295,Caerphilly 006,Caerffili 006,W06000018,Caerphilly,Caerffili
W02000296,Caerphilly 007,Caerffili 007,W06000018,Caerphilly,Caerffili
W02000297,Caerphilly 008,Caerffili 008,W06000018,Caerphilly,Caerffili
W02000298,Caerphilly 009,Caerffili 009,W06000018,Caerphilly,Caerffili
W02000299,Caerphilly 010,Caerffili 010,W06000018,Caerphilly,Caerffili
W02000300,Caerphilly 011,Caerffili 011,W06000018,Caerphilly,Caerffili
W02000301,Caerphilly 012,Caerffili 012,W06000018,Caerphilly,Caerffili
W02000302,Caerphilly 013,Caerffili 013,W06000018,Caerphilly,Caerffili
W02000303,Caerphilly 014,Caerffili 014,W06000018,Caerphilly,Caerffili
W02000304,Caerphilly 015,Caerffili 015,W06000018,Caerphilly,Caerffili
W02000305,Caerphilly 016,Caerffili 016,W06000018,Caerphilly,Caerffili
W02000306,Caerphilly 017,Caerffili 017,W06000018,Caerphilly,Caerffili
W02000307,Caerphilly 018,Caerffili 018,W06000018,Caerphilly,Caerffili
