area_id,time_id,area_inla_id,time_inla_id,msoa_name,direct_estimate,variance,n
W02000037,2025,37,3,Conwy 011,0,0,13
W02000038,2021,38,1,Conwy 012,0,0,4
W02000038,2023,38,2,Conwy 012,0,0,4
W02000038,2025,38,3,Conwy 012,0,0,20
W02000039,2021,39,1,Conwy 013,0,0,4
W02000039,2023,39,2,Conwy 013,0,0,3
W02000039,2025,39,3,Conwy 013,0,0,16
W02000040,2021,40,1,Conwy 014,0,0,9
W02000040,2023,40,2,Conwy 014,0,0,9
W02000040,2025,40,3,Conwy 014,0,0,10
W02000041,2021,41,1,Conwy 015,0,0,5
W02000041,2023,41,2,Conwy 015,0.11190346125377362,0.012906574231606092,5
W02000041,2025,41,3,Conwy 015,0,0,14
W02000042,2021,42,1,Denbighshire 001,0,0,6
W02000042,2023,42,2,Denbighshire 001,0,0,3
W02000042,2025,42,3,Denbighshire 001,0.011409903941683026,1.3638863908066475e-4,21
W02000043,2021,43,1,Denbighshire 002,0,0,6
W02000043,2023,43,2,Denbighshire 002,0.20249521443849272,0.03392086938866729,7
W02000043,2025,43,3,Denbighshire 002,0.05590147431791979,0.0030668449621292036,16
W02000044,2021,44,1,Denbighshire 003,0,0,5
W02000044,2023,44,2,Denbighshire 003,0,0,3
W02000044,2025,44,3,Denbighshire 003,0.28778703958949137,0.046774717892958534,15
W02000045,2021,45,1,Denbighshire 004,0,0,2
W02000045,2023,45,2,Denbighshire 004,0,0,3
W02000045,2025,45,3,Denbighshire 004,0,0,15
W02000047,2021,46,1,Denbighshire 006,0,0,7
W02000047,2023,46,2,Denbighshire 006,0,0,6
W02000047,2025,46,3,Denbighshire 006,0,0,16
W02000049,2021,47,1,Denbighshire 008,0.23193557453244168,0.038716331353226434,6
W02000049,2023,47,2,Denbighshire 008,0,0,4
W02000049,2025,47,3,Denbighshire 008,0.13333559387388905,0.015154249922157248,14
W02000050,2021,48,1,Denbighshire 009,0,0,6
W02000050,2023,48,2,Denbighshire 009,0,0,1
W02000050,2025,48,3,Denbighshire 009,0,0,16
W02000051,2021,49,1,Denbighshire 010,0,0,10
W02000051,2023,49,2,Denbighshire 010,0,0,3
W02000051,2025,49,3,Denbighshire 010,0.015601567958698652,2.514656756833183e-4,21
W02000052,2021,50,1,Denbighshire 011,0,0,6
W02000052,2023,50,2,Denbighshire 011,0,0,2
W02000052,2025,50,3,Denbighshire 011,0.07132945149011996,0.004926041417245895,13
W02000053,2021,51,1,Denbighshire 012,0,0,5
W02000053,2023,51,2,Denbighshire 012,0,0,3
W02000053,2025,51,3,Denbighshire 012,0.13524819564683765,0.014887825976281166,16
W02000054,2021,52,1,Denbighshire 013,0,0,7
W02000054,2023,52,2,Denbighshire 013,0,0,3
W02000054,2025,52,3,Denbighshire 013,0.2025524872712724,0.023433374100984394,17
W02000055,2021,53,1,Denbighshire 014,0.4151159555049288,0.06999174898265237,8
W02000055,2023,53,2,Denbighshire 014,0,0,5
W02000055,2025,53,3,Denbighshire 014,0.22268672778021087,0.021864390205174857,19
W02000056,2021,54,1,Denbighshire 015,0,0,5
W02000056,2023,54,2,Denbighshire 015,0,0,2
W02000056,2025,54,3,Denbighshire 015,0.19736863784948616,0.027841418825201213,14
W02000057,2021,55,1,Denbighshire 016,0,0,8
W02000057,2023,55,2,Denbighshire 016,0,0,5
W02000057,2025,55,3,Denbighshire 016,0,0,11
W02000058,2021,56,1,Flintshire 001,0,0,4
W02000058,2023,56,2,Flintshire 001,0,0,4
W02000058,2025,56,3,Flintshire 001,0.10555151079286637,0.005305267645922836,20
W02000059,2021,57,1,Flintshire 002,0,0,4
W02000059,2023,57,2,Flintshire 002,0.6322463487332075,0.08168385515995832,3
W02000059,2025,57,3,Flintshire 002,0,0,16
W02000060,2021,58,1,Flintshire 003,0,0,9
W02000060,2023,58,2,Flintshire 003,0,0,5
W02000060,2025,58,3,Flintshire 003,0,0,15
W02000061,2021,59,1,Flintshire 004,0.07092279883856752,0.005074398384729406,8
W02000061,2023,59,2,Flintshire 004,0,0,3
W02000061,2025,59,3,Flintshire 004,0.04318272234312543,0.001871355054411382,18
W02000062,2021,60,1,Flintshire 005,0.025041814619428535,6.67754876973138e-4,15
W02000062,2023,60,2,Flintshire 005,0,0,5
W02000062,2025,60,3,Flintshire 005,0,0,14
W02000063,2021,61,1,Flintshire 006,0,0,5
W02000063,2023,61,2,Flintshire 006,0,0,9
W02000063,2025,61,3,Flintshire 006,0,0,13
W02000064,2021,62,1,Flintshire 007,0,0,4
W02000064,2023,62,2,Flintshire 007,0,0,2
W02000064,2025,62,3,Flintshire 007,0,0,17
W02000065,2021,63,1,Flintshire 008,0,0,7
W02000065,2023,63,2,Flintshire 008,0,0,3
W02000065,2025,63,3,Flintshire 008,0.202974468907828,0.029275231678155596,11
W02000066,2021,64,1,Flintshire 009,0,0,8
W02000066,2023,64,2,Flintshire 009,0,0,4
W02000066,2025,64,3,Flintshire 009,0,0,16
W02000067,2021,65,1,Flintshire 010,0,0,8
W02000067,2023,65,2,Flintshire 010,0,0,2
W02000067,2025,65,3,Flintshire 010,0,0,16
W02000068,2021,66,1,Flintshire 011,0,0,7
W02000068,2023,66,2,Flintshire 011,0,0,4
W02000068,2025,66,3,Flintshire 011,0.3107597068175071,0.036486520265936115,11
W02000069,2021,67,1,Flintshire 012,0,0,9
W02000069,2023,67,2,Flintshire 012,0,0,3
W02000069,2025,67,3,Flintshire 012,0,0,19
W02000070,2021,68,1,Flintshire 013,0,0,8
W02000070,2023,68,2,Flintshire 013,0,0,7
W02000070,2025,68,3,Flintshire 013,0.2573864883803145,0.04211437496546974,11
W02000071,2021,69,1,Flintshire 014,0,0,6
W02000071,2023,69,2,Flintshire 014,0,0,2
W02000071,2025,69,3,Flintshire 014,0.019366670161967994,3.9362831461549303e-4,20
W02000072,2021,70,1,Flintshire 015,0.09030527329990655,0.007746939078825745,9
W02000072,2023,70,2,Flintshire 015,0,0,6
W02000072,2025,70,3,Flintshire 015,0,0,18
W02000073,2021,71,1,Flintshire 016,0,0,4
W02000073,2023,71,2,Flintshire 016,0,0,2
W02000073,2025,71,3,Flintshire 016,0,0,16
W02000074,2021,72,1,Flintshire 017,0.22049183312206763,0.038901548745391756,5
W02000074,2023,72,2,Flintshire 017,0,0,2
W02000074,2025,72,3,Flintshire 017,0,0,21
W02000075,2021,73,1,Flintshire 018,0,0,7
W02000075,2023,73,2,Flintshire 018,0,0,7
W02000075,2025,73,3,Flintshire 018,0,0,13
W02000076,2021,74,1,Flintshire 019,0,0,4
W02000076,2023,74,2,Flintshire 019,0.16084673716852174,0.02232780332140354,6
W02000076,2025,74,3,Flintshire 019,0,0,10
W02000077,2021,75,1,Flintshire 020,0,0,3
W02000077,2023,75,2,Flintshire 020,0,0,6
W02000077,2025,75,3,Flintshire 020,0,0,9
W02000080,2021,76,1,Wrexham 003,0,0,10
W02000080,2023,76,2,Wrexham 003,0,0,3
W02000080,2025,76,3,Wrexham 003,0,0,13
W02000081,2021,77,1,Wrexham 004,0,0,3
W02000081,2023,77,2,Wrexham 004,0.5422692488727089,0.12354481304683361,2
W02000081,2025,77,3,Wrexham 004,0,0,17
W02000082,2021,78,1,Wrexham 005,0,0,10
W02000082,2023,78,2,Wrexham 005,0,0,2
W02000082,2025,78,3,Wrexham 005,0.03177502374487386,0.0010411319363736093,16
W02000083,2021,79,1,Wrexham 006,0,0,5
W02000083,2023,79,2,Wrexham 006,0,0,2
W02000083,2025,79,3,Wrexham 006,0,0,8
W02000085,2021,80,1,Wrexham 008,0,0,7
W02000085,2023,80,2,Wrexham 008,0,0,5
W02000085,2025,80,3,Wrexham 008,0,0,9
W02000087,2021,81,1,Wrexham 010,0,0,9
W02000087,2023,81,2,Wrexham 010,0.1808955192282876,0.02866507946125327,5
W02000087,2025,81,3,Wrexham 010,0.18571582270235554,0.01616245696024746,14
W02000088,2021,82,1,Wrexham 011,0,0,8
W02000088,2023,82,2,Wrexham 011,0,0,3
W02000088,2025,82,3,Wrexham 011,0,0,10
W02000089,2021,83,1,Wrexham 012,0,0,6
W02000089,2023,83,2,Wrexham 012,0,0,4
W02000089,2025,83,3,Wrexham 012,0,0,8
W02000090,2021,84,1,Wrexham 013,0,0,3
W02000090,2023,84,2,Wrexham 013,0,0,3
W02000090,2025,84,3,Wrexham 013,0,0,14
W02000091,2021,85,1,Wrexham 014,0,0,9
W02000091,2023,85,2,Wrexham 014,0,0,5
W02000091,2025,85,3,Wrexham 014,0.20395852952915317,0.03009823963253483,13
W02000092,2021,86,1,Wrexham 015,0,0,4
W02000092,2023,86,2,Wrexham 015,0,0,6
W02000092,2025,86,3,Wrexham 015,0,0,8
W02000093,2021,87,1,Wrexham 016,0,0,5
W02000093,2023,87,2,Wrexham 016,0,0,4
W02000093,2025,87,3,Wrexham 016,0.03134304309810053,0.0010317136922411946,13
W02000094,2021,88,1,Wrexham 017,0,0,4
W02000094,2023,88,2,Wrexham 017,0,0,2
W02000094,2025,88,3,Wrexham 017,0,0,10
W02000095,2021,89,1,Wrexham 018,0,0,4
W02000095,2023,89,2,Wrexham 018,0,0,3
W02000095,2025,89,3,Wrexham 018,0,0,15
W02000096,2021,90,1,Wrexham 019,0,0,4
W02000096,2023,90,2,Wrexham 019,0,0,5
W02000096,2025,90,3,Wrexham 019,0.3287667418960497,0.035542422417327,13
W02000097,2021,91,1,Powys 001,0.10512921498565136,0.005567712737197996,14
W02000097,2023,91,2,Powys 001,0.04638055190476762,0.0022167476090254874,10
W02000097,2025,91,3,Powys 001,0,0,25
W02000098,2021,92,1,Powys 002,0,0,13
W02000098,2023,92,2,Powys 002,0,0,13
W02000098,2025,92,3,Powys 002,0,0,23
W02000099,2021,93,1,Powys 003,0,0,15
W02000099,2023,93,2,Powys 003,0,0,10
W02000099,2025,93,3,Powys 003,0,0,31
W02000100,2021,94,1,Powys 004,0.08189533993741366,0.0031174554602636105,32
W02000100,2023,94,2,Powys 004,0,0,11
W02000100,2025,94,3,Powys 004,0.0446688492451941,0.0011382262142835043,25
W02000101,2021,95,1,Powys 005,0.06619685847591819,0.004070347408822772,19
W02000101,2023,95,2,Powys 005,0,0,7
W02000101,2025,95,3,Powys 005,0,0,26
W02000102,2021,96,1,Powys 006,0.06147208120885109,0.0037507069125653106,16
W02000102,2023,96,2,Powys 006,0,0,16
W02000102,2025,96,3,Powys 006,0.031084520573306365,9.87846343196921e-4,22
W02000103,2021,97,1,Powys 007,0.054796940227909756,0.002949125725538893,14
W02000103,2023,97,2,Powys 007,0,0,15
W02000103,2025,97,3,Powys 007,0.05424423383190538,0.0015740375592118864,36
W02000104,2021,98,1,Powys 008,0.21196557446944445,0.01771655471832982,13
W02000104,2023,98,2,Powys 008,0.05843663645886782,0.0033489492359509215,13
W02000104,2025,98,3,Powys 008,0,0,34
W02000105,2021,99,1,Powys 009,0,0,15
W02000105,2023,99,2,Powys 009,0.14394654375477953,0.017593439712406633,8
W02000105,2025,99,3,Powys 009,0.05788192243470435,0.0031000293535176026,34
W02000106,2021,100,1,Powys 010,0,0,12
W02000106,2023,100,2,Powys 010,0,0,14
W02000106,2025,100,3,Powys 010,0.03345615687114829,5.707652634341579e-4,37
W02000107,2021,101,1,Powys 011,0,0,20
W02000107,2023,101,2,Powys 011,0.2876779461520846,0.026606611209126992,10
W02000107,2025,101,3,Powys 011,0.080041217984629,0.002963560222881866,34
W02000108,2021,102,1,Powys 012,0.09508244496520842,0.00795454087361103,17
W02000108,2023,102,2,Powys 012,0.04129620434705275,0.0017290719061855253,12
W02000108,2025,102,3,Powys 012,0.056846619024819356,0.003012757351992638,31
W02000109,2021,103,1,Powys 013,0.0705319831902834,0.004695359433609599,19
W02000109,2023,103,2,Powys 013,0.11078353686190462,0.0059075995622522815,16
W02000109,2025,103,3,Powys 013,0.13599677777762986,0.006140119759410932,35
W02000110,2021,104,1,Powys 014,0,0,25
W02000110,2023,104,2,Powys 014,0,0,13
W02000110,2025,104,3,Powys 014,0.029088940230775864,8.438399642170925e-4,30
W02000111,2021,105,1,Powys 015,0,0,13
W02000111,2023,105,2,Powys 015,0,0,14
W02000111,2025,105,3,Powys 015,0.03669401334704078,0.0013021109575790855,40
W02000113,2021,106,1,Powys 017,0,0,13
W02000113,2023,106,2,Powys 017,0.06193727266971812,0.0038099210113068426,10
W02000113,2025,106,3,Powys 017,0.0626057808821755,0.001959650740214631,36
W02000114,2021,107,1,Powys 018,0,0,18
W02000114,2023,107,2,Powys 018,0,0,5
W02000114,2025,107,3,Powys 018,0.02899635970913261,8.248231016982917e-4,34
W02000116,2021,108,1,Ceredigion 001,0,0,6
W02000116,2023,108,2,Ceredigion 001,0.07578012708945132,0.005677245613383305,8
W02000116,2025,108,3,Ceredigion 001,0,0,28
W02000117,2021,109,1,Ceredigion 002,0,0,8
W02000117,2023,109,2,Ceredigion 002,0,0,5
W02000117,2025,109,3,Ceredigion 002,0.029861764954578433,8.764530370862541e-4,33
W02000118,2021,110,1,Ceredigion 003,0.22097657171416957,0.018725367696479395,11
W02000118,2023,110,2,Ceredigion 003,0,0,5
W02000118,2025,110,3,Ceredigion 003,0.01994216310294762,4.088981336375377e-4,23
W02000120,2021,111,1,Ceredigion 005,0,0,6
W02000120,2023,111,2,Ceredigion 005,0,0,2
W02000120,2025,111,3,Ceredigion 005,0.04072394979529784,0.001610154421099452,31
W02000122,2021,112,1,Ceredigion 007,0,0,11
W02000122,2023,112,2,Ceredigion 007,0,0,5
W02000122,2025,112,3,Ceredigion 007,0.07321110912365389,0.0017970048878517455,36
W02000123,2021,113,1,Ceredigion 008,0,0,5
W02000123,2023,113,2,Ceredigion 008,0.26769248745226243,0.05351041937639401,4
W02000123,2025,113,3,Ceredigion 008,0.0436665538210929,0.0011895804468138472,21
W02000124,2021,114,1,Ceredigion 009,0,0,10
W02000124,2023,114,2,Ceredigion 009,0,0,9
W02000124,2025,114,3,Ceredigion 009,0,0,27
W02000125,2021,115,1,Ceredigion 010,0.1541360874051499,0.019759424260627687,12
W02000125,2023,115,2,Ceredigion 010,0,0,7
W02000125,2025,115,3,Ceredigion 010,0.011724876619354988,1.3946946857179137e-4,37
W02000126,2021,116,1,Pembrokeshire 001,0,0,6
W02000126,2023,116,2,Pembrokeshire 001,0,0,5
W02000126,2025,116,3,Pembrokeshire 001,0.06796726379345756,0.004335218682338745,18
W02000127,2021,117,1,Pembrokeshire 002,0,0,15
W02000127,2023,117,2,Pembrokeshire 002,0,0,5
W02000127,2025,117,3,Pembrokeshire 002,0,0,14
W02000128,2021,118,1,Pembrokeshire 003,0,0,9
W02000128,2023,118,2,Pembrokeshire 003,0,0,6
W02000128,2025,118,3,Pembrokeshire 003,0,0,14
W02000129,2021,119,1,Pembrokeshire 004,0,0,6
W02000129,2023,119,2,Pembrokeshire 004,0,0,4
W02000129,2025,119,3,Pembrokeshire 004,0.25399211810864486,0.027846009383513184,16
W02000130,2021,120,1,Pembrokeshire 005,0,0,10
W02000130,2023,120,2,Pembrokeshire 005,0,0,3
W02000130,2025,120,3,Pembrokeshire 005,0.0981238857956411,0.004805907069245991,16
W02000131,2021,121,1,Pembrokeshire 006,0.14293793331276314,0.016479498789573208,14
W02000131,2023,121,2,Pembrokeshire 006,0,0,7
W02000131,2025,121,3,Pembrokeshire 006,0,0,13
W02000132,2021,122,1,Pembrokeshire 007,0,0,6
W02000132,2023,122,2,Pembrokeshire 007,0,0,6
W02000132,2025,122,3,Pembrokeshire 007,0,0,10
W02000133,2021,123,1,Pembrokeshire 008,0,0,10
W02000133,2023,123,2,Pembrokeshire 008,NA,NA,0
W02000133,2025,123,3,Pembrokeshire 008,0.2724134013050462,0.019635790276045766,14
W02000134,2021,124,1,Pembrokeshire 009,0,0,10
W02000134,2023,124,2,Pembrokeshire 009,0,0,2
W02000134,2025,124,3,Pembrokeshire 009,0.04305623597406316,0.001821147073585631,19
W02000135,2021,125,1,Pembrokeshire 010,0,0,10
W02000135,2023,125,2,Pembrokeshire 010,0.2160171140620766,0.03631488072298503,5
W02000135,2025,125,3,Pembrokeshire 010,0,0,16
W02000136,2021,126,1,Pembrokeshire 011,0,0,15
W02000136,2023,126,2,Pembrokeshire 011,0,0,5
W02000136,2025,126,3,Pembrokeshire 011,0.03483827032711878,6.434018488702406e-4,24
W02000137,2021,127,1,Pembrokeshire 012,0.05001729164591482,0.002476342058632618,15
W02000137,2023,127,2,Pembrokeshire 012,0,0,2
W02000137,2025,127,3,Pembrokeshire 012,0.05836942389591046,0.0033574116102322946,13
W02000138,2021,128,1,Pembrokeshire 013,0,0,12
W02000138,2023,128,2,Pembrokeshire 013,0,0,1
W02000138,2025,128,3,Pembrokeshire 013,0,0,13
W02000139,2021,129,1,Pembrokeshire 014,0,0,11
W02000139,2023,129,2,Pembrokeshire 014,0,0,4
W02000139,2025,129,3,Pembrokeshire 014,0.040022436740227076,0.0016020190967239777,20
W02000140,2021,130,1,Pembrokeshire 015,0,0,9
W02000140,2023,130,2,Pembrokeshire 015,0,0,10
W02000140,2025,130,3,Pembrokeshire 015,0,0,14
W02000141,2021,131,1,Pembrokeshire 016,0,0,10
W02000141,2023,131,2,Pembrokeshire 016,0,0,5
W02000141,2025,131,3,Pembrokeshire 016,0,0,16
W02000142,2021,132,1,Carmarthenshire 001,0,0,9
W02000142,2023,132,2,Carmarthenshire 001,0,0,2
W02000142,2025,132,3,Carmarthenshire 001,0.08133704743903515,0.006465594069013058,9
W02000143,2021,133,1,Carmarthenshire 002,0,0,6
W02000143,2023,133,2,Carmarthenshire 002,0,0,7
W02000143,2025,133,3,Carmarthenshire 002,0,0,7
W02000144,2021,134,1,Carmarthenshire 003,0,0,9
W02000144,2023,134,2,Carmarthenshire 003,0,0,4
W02000144,2025,134,3,Carmarthenshire 003,0,0,18
W02000145,2021,135,1,Carmarthenshire 004,0,0,7
W02000145,2023,135,2,Carmarthenshire 004,0,0,4
W02000145,2025,135,3,Carmarthenshire 004,0,0,15
W02000146,2021,136,1,Carmarthenshire 005,0,0,2
W02000146,2023,136,2,Carmarthenshire 005,0,0,5
W02000146,2025,136,3,Carmarthenshire 005,0,0,10
W02000147,2021,137,1,Carmarthenshire 006,0,0,7
W02000147,2023,137,2,Carmarthenshire 006,0,0,3
W02000147,2025,137,3,Carmarthenshire 006,0.04374435846709626,0.0019349810845753362,12
W02000148,2021,138,1,Carmarthenshire 007,0,0,6
W02000148,2023,138,2,Carmarthenshire 007,0,0,3
W02000148,2025,138,3,Carmarthenshire 007,0.08663419520279785,0.007090065034058592,11
W02000149,2021,139,1,Carmarthenshire 008,0,0,6
W02000149,2023,139,2,Carmarthenshire 008,0.12085245349131828,0.012999443621296295,8
W02000149,2025,139,3,Carmarthenshire 008,0,0,15
W02000151,2021,140,1,Carmarthenshire 010,0,0,4
W02000151,2023,140,2,Carmarthenshire 010,0,0,5
W02000151,2025,140,3,Carmarthenshire 010,0,0,12
W02000152,2021,141,1,Carmarthenshire 011,0,0,8
W02000152,2023,141,2,Carmarthenshire 011,NA,NA,0
W02000152,2025,141,3,Carmarthenshire 011,0.08807098372747282,0.00736904556921977,11
W02000153,2021,142,1,Carmarthenshire 012,0,0,7
W02000153,2023,142,2,Carmarthenshire 012,0,0,3
W02000153,2025,142,3,Carmarthenshire 012,0,0,11
W02000154,2021,143,1,Carmarthenshire 013,0,0,8
W02000154,2023,143,2,Carmarthenshire 013,0,0,4
W02000154,2025,143,3,Carmarthenshire 013,0.033453812880093116,0.001156074313235389,13
W02000156,2021,144,1,Carmarthenshire 015,0,0,11
W02000156,2023,144,2,Carmarthenshire 015,0,0,3
W02000156,2025,144,3,Carmarthenshire 015,0,0,7
W02000157,2021,145,1,Carmarthenshire 016,0,0,4
W02000157,2023,145,2,Carmarthenshire 016,0,0,6
W02000157,2025,145,3,Carmarthenshire 016,0,0,10
W02000158,2021,146,1,Carmarthenshire 017,0,0,16
W02000158,2023,146,2,Carmarthenshire 017,0,0,4
W02000158,2025,146,3,Carmarthenshire 017,0.11995782437877213,0.012960857333788182,10
W02000159,2021,147,1,Carmarthenshire 018,0.4074741179511297,0.040262271212383405,9
W02000159,2023,147,2,Carmarthenshire 018,0,0,6
W02000159,2025,147,3,Carmarthenshire 018,0.11541527583403557,0.012264953233263962,9
W02000160,2021,148,1,Carmarthenshire 019,0,0,5
W02000160,2023,148,2,Carmarthenshire 019,0,0,3
W02000160,2025,148,3,Carmarthenshire 019,0,0,6
W02000161,2021,149,1,Carmarthenshire 020,0,0,11
W02000161,2023,149,2,Carmarthenshire 020,0,0,5
W02000161,2025,149,3,Carmarthenshire 020,0,0,8
W02000162,2021,150,1,Carmarthenshire 021,0,0,11
W02000162,2023,150,2,Carmarthenshire 021,0,0,2
W02000162,2025,150,3,Carmarthenshire 021,0,0,5
W02000163,2021,151,1,Carmarthenshire 022,0,0,12
W02000163,2023,151,2,Carmarthenshire 022,0,0,5
W02000163,2025,151,3,Carmarthenshire 022,0.04995194940408503,0.0025557413595306997,12
W02000164,2021,152,1,Carmarthenshire 023,0,0,7
W02000164,2023,152,2,Carmarthenshire 023,0,0,2
W02000164,2025,152,3,Carmarthenshire 023,0,0,21
